edge_id,pair_id,source,target,domain,weight,source_name,target_name,source_institution,target_institution,source_country,target_country
lim-j--tan-l#vector_borne,lim-j--tan-l,lim-j,tan-l,vector_borne,4,"Lim, Jue Tao","Tan, Li Yun",Nanyang Technological University,,Singapore,United States
ng-l--ng-y#vector_borne,ng-l--ng-y,ng-l,ng-y,vector_borne,4,"Ng, Lee Ching","Ng, Youming",Environmental Health Institute,KK Women's and Children's Hospital,Singapore,Singapore
ng-l--tan-l#vector_borne,ng-l--tan-l,ng-l,tan-l,vector_borne,4,"Ng, Lee Ching","Tan, Li Yun",Environmental Health Institute,,Singapore,United States
ng-y--sim-s#vector_borne,ng-y--sim-s,ng-y,sim-s,vector_borne,4,"Ng, Youming","Sim, Shuzhen",KK Women's and Children's Hospital,Environmental Health Institute,Singapore,Singapore
ng-y--tan-c#vector_borne,ng-y--tan-c,ng-y,tan-c,vector_borne,4,"Ng, Youming","Tan, Cheong Huat",KK Women's and Children's Hospital,Nanyang Technological University,Singapore,Singapore
ng-y--tan-l#vector_borne,ng-y--tan-l,ng-y,tan-l,vector_borne,4,"Ng, Youming","Tan, Li Yun",KK Women's and Children's Hospital,,Singapore,United States
sim-s--tan-c#vector_borne,sim-s--tan-c,sim-s,tan-c,vector_borne,4,"Sim, Shuzhen","Tan, Cheong Huat",Environmental Health Institute,Nanyang Technological University,Singapore,Singapore
sim-s--tan-l#vector_borne,sim-s--tan-l,sim-s,tan-l,vector_borne,4,"Sim, Shuzhen","Tan, Li Yun",Environmental Health Institute,,Singapore,United States
tan-c--tan-l#vector_borne,tan-c--tan-l,tan-c,tan-l,vector_borne,4,"Tan, Cheong Huat","Tan, Li Yun",Nanyang Technological University,,Singapore,United States
mitnick-c--oyewusi-l#tb,mitnick-c--oyewusi-l,mitnick-c,oyewusi-l,tb,4,"Mitnick, Carole D","Oyewusi, Lawrence",Harvard University,,United States,
oyewusi-l--rich-m#tb,oyewusi-l--rich-m,oyewusi-l,rich-m,tb,4,"Oyewusi, Lawrence","Rich, Michael L",,,,United States
bansal-s--ma-p#vector_borne,bansal-s--ma-p,bansal-s,ma-p,vector_borne,4,"Bansal, Somya","Ma, Pei",National University of Singapore,National University of Singapore,Singapore,Singapore
bansal-s--ng-l#vector_borne,bansal-s--ng-l,bansal-s,ng-l,vector_borne,4,"Bansal, Somya","Ng, Lee Ching",National University of Singapore,Environmental Health Institute,Singapore,Singapore
dickens-b--ma-p#vector_borne,dickens-b--ma-p,dickens-b,ma-p,vector_borne,4,"Dickens, Borame","Ma, Pei",National University of Singapore,National University of Singapore,Singapore,Singapore
lim-j--ma-p#vector_borne,lim-j--ma-p,lim-j,ma-p,vector_borne,4,"Lim, Jue Tao","Ma, Pei",Nanyang Technological University,National University of Singapore,Singapore,Singapore
teo-a--tep-s#tb,teo-a--tep-s,teo-a,tep-s,tb,3,"Teo, Alvin Kuo Jing","Tep, Sovanvorleak",National University of Singapore,,Australia,Cambodia
teo-a--tuot-s#tb,teo-a--tuot-s,teo-a,tuot-s,tb,3,"Teo, Alvin Kuo Jing","Tuot, Sovannary",National University of Singapore,,Australia,Cambodia
tep-s--tuot-s#tb,tep-s--tuot-s,tep-s,tuot-s,tb,3,"Tep, Sovanvorleak","Tuot, Sovannary",,,Cambodia,Cambodia
wang-h--wang-w#sti,wang-h--wang-w,wang-h,wang-w,sti,3,"Wang, Hongyan","Wang, Wenyi",,National University of Singapore,China,Singapore
