uid,domain_id,subdomain_id,subdomain_label,is_primary,vocabulary_rank,year
doi:10.1016/j.ijid.2026.108545,tb,Antitubercular Agents,Antitubercular Agents,1,1,2026
doi:10.1016/j.ijid.2026.108545,tb,Tuberculosis,Tuberculosis,0,3,2026
doi:10.1016/j.mib.2026.102764,amr_hai,Klebsiella pneumoniae,Klebsiella pneumoniae,1,4,2026
doi:10.1016/j.mib.2026.102764,amr_hai,Virulence,Virulence,0,9,2026
doi:10.1016/j.mib.2026.102764,amr_hai,Klebsiella Infections,Klebsiella Infections,0,12,2026
doi:10.1093/infdis/jiag290,vector_borne,other,Other/unspecified,1,,2026
doi:10.1016/j.ssmmh.2026.100615,sti,other,Other/unspecified,1,,2026
doi:10.1099/mgen.0.001745,amr_hai,Virulence,Virulence,1,9,2026
doi:10.1177/20584601261418668,tb,other,Other/unspecified,1,,2026
doi:10.1371/journal.ppat.1014287,vector_borne,other,Other/unspecified,1,,2026
doi:10.1371/journal.pcbi.1014355,vector_borne,Aedes,Aedes,1,2,2026
doi:10.1371/journal.pcbi.1014355,vector_borne,Mosquito Vectors,Mosquito Vectors,0,3,2026
doi:10.1371/journal.pcbi.1014355,vector_borne,Wolbachia,Wolbachia,0,6,2026
doi:10.1371/journal.pcbi.1014355,vector_borne,Mosquito Control,Mosquito Control,0,7,2026
