edge_id,pair_id,source,target,domain,weight,source_country,target_country,source_region,target_region,is_cross_border,involves_singapore
National University Health System--Tan Tock Seng Hospital#rti,National University Health System--Tan Tock Seng Hospital,National University Health System,Tan Tock Seng Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Hospital--Singapore General Hospital#rti,National University Hospital--Singapore General Hospital,National University Hospital,Singapore General Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Hospital--Tan Tock Seng Hospital#rti,National University Hospital--Tan Tock Seng Hospital,National University Hospital,Tan Tock Seng Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Singapore General Hospital--Tan Tock Seng Hospital#rti,Singapore General Hospital--Tan Tock Seng Hospital,Singapore General Hospital,Tan Tock Seng Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Johns Hopkins University--National University of Singapore#tb,Johns Hopkins University--National University of Singapore,Johns Hopkins University,National University of Singapore,tb,2,United States,Singapore,North America,Southeast Asia,1,1
National Centre for Infectious Diseases--University of Malaya#sti,National Centre for Infectious Diseases--University of Malaya,National Centre for Infectious Diseases,University of Malaya,sti,2,Singapore,Malaysia,Southeast Asia,Southeast Asia,1,1
Imperial College London--World Health Organization#vector_borne,Imperial College London--World Health Organization,Imperial College London,World Health Organization,vector_borne,2,United Kingdom,Switzerland,Europe,Europe,1,0
Mahidol University--National University Health System#amr_hai,Mahidol University--National University Health System,Mahidol University,National University Health System,amr_hai,2,Thailand,Singapore,Southeast Asia,Southeast Asia,1,1
National University Health System--Oxford University Clinical Research Unit#amr_hai,National University Health System--Oxford University Clinical Research Unit,National University Health System,Oxford University Clinical Research Unit,amr_hai,2,Singapore,Viet Nam,Southeast Asia,Southeast Asia,1,1
National University Health System--University of Oxford#amr_hai,National University Health System--University of Oxford,National University Health System,University of Oxford,amr_hai,2,Singapore,United Kingdom,Southeast Asia,Europe,1,1
National Centre for Infectious Diseases--Oxford University Clinical Research Unit#vector_borne,National Centre for Infectious Diseases--Oxford University Clinical Research Unit,National Centre for Infectious Diseases,Oxford University Clinical Research Unit,vector_borne,2,Singapore,Viet Nam,Southeast Asia,Southeast Asia,1,1
National Centre for Infectious Diseases--University of Oxford#vector_borne,National Centre for Infectious Diseases--University of Oxford,National Centre for Infectious Diseases,University of Oxford,vector_borne,2,Singapore,United Kingdom,Southeast Asia,Europe,1,1
National University of Singapore--Oxford University Clinical Research Unit#vector_borne,National University of Singapore--Oxford University Clinical Research Unit,National University of Singapore,Oxford University Clinical Research Unit,vector_borne,2,Singapore,Viet Nam,Southeast Asia,Southeast Asia,1,1
Oxford University Clinical Research Unit--University of Oxford#vector_borne,Oxford University Clinical Research Unit--University of Oxford,Oxford University Clinical Research Unit,University of Oxford,vector_borne,2,Viet Nam,United Kingdom,Southeast Asia,Europe,1,0
SingHealth--Singapore General Hospital#rti,SingHealth--Singapore General Hospital,SingHealth,Singapore General Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
London School of Hygiene & Tropical Medicine--National University of Singapore#other_id,London School of Hygiene & Tropical Medicine--National University of Singapore,London School of Hygiene & Tropical Medicine,National University of Singapore,other_id,2,United Kingdom,Singapore,Europe,Southeast Asia,1,1
Mahidol University--National University Hospital#amr_hai,Mahidol University--National University Hospital,Mahidol University,National University Hospital,amr_hai,2,Thailand,Singapore,Southeast Asia,Southeast Asia,1,1
National University Hospital--Oxford University Clinical Research Unit#amr_hai,National University Hospital--Oxford University Clinical Research Unit,National University Hospital,Oxford University Clinical Research Unit,amr_hai,2,Singapore,Viet Nam,Southeast Asia,Southeast Asia,1,1
Singapore General Hospital--University of Hong Kong#amr_hai,Singapore General Hospital--University of Hong Kong,Singapore General Hospital,University of Hong Kong,amr_hai,2,Singapore,Hong Kong SAR,Southeast Asia,East Asia,1,1
National Centre for Infectious Diseases--National University of Singapore#sti,National Centre for Infectious Diseases--National University of Singapore,National Centre for Infectious Diseases,National University of Singapore,sti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Health System--Tan Tock Seng Hospital#amr_hai,National University Health System--Tan Tock Seng Hospital,National University Health System,Tan Tock Seng Hospital,amr_hai,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--SingHealth#rti,National University of Singapore--SingHealth,National University of Singapore,SingHealth,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Skin Centre--National University of Singapore#vector_borne,National Skin Centre--National University of Singapore,National Skin Centre,National University of Singapore,vector_borne,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--Singapore General Hospital#rti,Duke-NUS Medical School--Singapore General Hospital,Duke-NUS Medical School,Singapore General Hospital,rti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--Tan Tock Seng Hospital#sti,National Centre for Infectious Diseases--Tan Tock Seng Hospital,National Centre for Infectious Diseases,Tan Tock Seng Hospital,sti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Hospital--National University of Singapore#sti,National University Hospital--National University of Singapore,National University Hospital,National University of Singapore,sti,2,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
