uid,type_id,type_label,type_score,year,primary_domain
doi:10.1186/s13756-025-01656-w,infection_prevention_control,Infection prevention and control,3,2025,amr_hai
doi:10.1038/s41598-025-86139-z,entomology,Entomology,22,2025,vector_borne
doi:10.1038/s41598-025-86139-z,surveillance_epidemiology,Surveillance and epidemiology,6,2025,vector_borne
doi:10.1093/ofid/ofaf610,surveillance_epidemiology,Surveillance and epidemiology,9,2025,amr_hai
doi:10.1093/ofid/ofaf610,genomics,Genomics,6,2025,amr_hai
doi:10.1093/ofid/ofaf610,transmission,Transmission,3,2025,amr_hai
doi:10.1128/jvi.01597-25,basic_research,Basic research,4,2025,sti
doi:10.1016/j.infpip.2025.100492,infection_prevention_control,Infection prevention and control,6,2025,rti
doi:10.1016/j.infpip.2025.100492,surveillance_epidemiology,Surveillance and epidemiology,5,2025,rti
doi:10.1016/j.infpip.2025.100492,clinical_studies,Clinical studies,4,2025,rti
doi:10.1128/spectrum.01353-25,detection,Detection,8,2025,tb
doi:10.1016/j.vaccine.2025.126728,vaccine,Vaccine,20,2025,vector_borne
doi:10.1016/j.vaccine.2025.126728,modelling,Modelling,12,2025,vector_borne
doi:10.1016/j.ijid.2025.108054,surveillance_epidemiology,Surveillance and epidemiology,11,2025,tb
doi:10.1016/j.intf.2025.100335,surveillance_epidemiology,Surveillance and epidemiology,5,2025,other_id
doi:10.1016/j.infpip.2025.100495,infection_prevention_control,Infection prevention and control,9,2025,amr_hai
doi:10.1038/s41467-025-66606-x,virology,Virology,8,2025,sti
doi:10.1016/j.celrep.2025.116098,immunology,Immunology,4,2025,vector_borne
doi:10.47102/annals-acadmedsg.2025336,disease_management,Disease management,8,2025,sti
doi:10.47102/annals-acadmedsg.2025336,surveillance_epidemiology,Surveillance and epidemiology,8,2025,sti
doi:10.47102/annals-acadmedsg.2025336,genomics,Genomics,4,2025,sti
doi:10.3390/ijms262411784,detection,Detection,7,2025,sti
doi:10.3390/pathogens14030285,entomology,Entomology,13,2025,vector_borne
doi:10.1186/s12889-025-24934-z,genomics,Genomics,6,2025,tb
doi:10.1186/s12889-025-24934-z,detection,Detection,4,2025,tb
doi:10.1128/spectrum.02725-25,surveillance_epidemiology,Surveillance and epidemiology,11,2025,other_id
doi:10.1016/j.jhin.2025.11.043,infection_prevention_control,Infection prevention and control,18,2025,amr_hai
doi:10.1016/j.jhin.2025.11.043,surveillance_epidemiology,Surveillance and epidemiology,4,2025,amr_hai
doi:10.1016/s1473-3099(25)00151-3,treatment,Treatment,8,2025,tb
doi:10.1016/s1473-3099(25)00151-3,clinical_studies,Clinical studies,6,2025,tb
doi:10.1136/bmjresp-2025-003777,treatment,Treatment,8,2025,tb
doi:10.1136/bmjresp-2025-003777,clinical_studies,Clinical studies,4,2025,tb
doi:10.1136/bmjresp-2025-003777,surveillance_epidemiology,Surveillance and epidemiology,4,2025,tb
doi:10.1101/2025.08.20.25334077,clinical_studies,Clinical studies,4,2025,tb
doi:10.1073/pnas.2421573122,virology,Virology,9,2025,vector_borne
doi:10.1073/pnas.2421573122,treatment,Treatment,4,2025,vector_borne
doi:10.1038/s41467-025-66413-4,genomics,Genomics,10,2025,amr_hai
doi:10.1038/s41467-025-66413-4,surveillance_epidemiology,Surveillance and epidemiology,4,2025,amr_hai
doi:10.1038/s41467-025-66413-4,transmission,Transmission,3,2025,amr_hai
doi:10.1007/s00408-024-00779-y,detection,Detection,14,2025,tb
doi:10.1016/j.idc.2025.11.005,disease_management,Disease management,6,2025,amr_hai
doi:10.1186/s12964-025-02588-z,basic_research,Basic research,6,2025,vector_borne
doi:10.1186/s12964-025-02588-z,immunology,Immunology,3,2025,vector_borne
doi:10.1016/j.ajic.2025.10.025,treatment,Treatment,4,2025,amr_hai
doi:10.1002/jia2.70052,clinical_studies,Clinical studies,9,2025,sti
