edge_id,pair_id,domain,path_order,node_id,label,x,y,weight,source,target,is_cross_border,involves_singapore
Singapore General Hospital--Tan Tock Seng Hospital#tb,Singapore General Hospital--Tan Tock Seng Hospital,tb,2,Tan Tock Seng Hospital,Tan Tock Seng Hospital,0.54699,0.379399,4,Singapore General Hospital,Tan Tock Seng Hospital,0,1
Nanyang Technological University--National Centre for Infectious Diseases#amr_hai,Nanyang Technological University--National Centre for Infectious Diseases,amr_hai,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,4,Nanyang Technological University,National Centre for Infectious Diseases,0,1
Nanyang Technological University--National Centre for Infectious Diseases#amr_hai,Nanyang Technological University--National Centre for Infectious Diseases,amr_hai,2,National Centre for Infectious Diseases,National Centre for Infectious Diseases,0.63178,0.485666,4,Nanyang Technological University,National Centre for Infectious Diseases,0,1
National University of Singapore--Singapore General Hospital#other_id,National University of Singapore--Singapore General Hospital,other_id,1,National University of Singapore,National University of Singapore,0.59751,0.507684,4,National University of Singapore,Singapore General Hospital,0,1
National University of Singapore--Singapore General Hospital#other_id,National University of Singapore--Singapore General Hospital,other_id,2,Singapore General Hospital,Singapore General Hospital,0.475209,0.374832,4,National University of Singapore,Singapore General Hospital,0,1
A*STAR Infectious Diseases Labs--Nanyang Technological University#tb,A*STAR Infectious Diseases Labs--Nanyang Technological University,tb,1,A*STAR Infectious Diseases Labs,A*STAR Infectious Diseases Labs,0.805549,0.407654,3,A*STAR Infectious Diseases Labs,Nanyang Technological University,0,1
A*STAR Infectious Diseases Labs--Nanyang Technological University#tb,A*STAR Infectious Diseases Labs--Nanyang Technological University,tb,2,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,3,A*STAR Infectious Diseases Labs,Nanyang Technological University,0,1
A*STAR Infectious Diseases Labs--National University of Singapore#tb,A*STAR Infectious Diseases Labs--National University of Singapore,tb,1,A*STAR Infectious Diseases Labs,A*STAR Infectious Diseases Labs,0.805549,0.407654,3,A*STAR Infectious Diseases Labs,National University of Singapore,0,1
A*STAR Infectious Diseases Labs--National University of Singapore#tb,A*STAR Infectious Diseases Labs--National University of Singapore,tb,2,National University of Singapore,National University of Singapore,0.59751,0.507684,3,A*STAR Infectious Diseases Labs,National University of Singapore,0,1
Mahidol University--University of Oxford#vector_borne,Mahidol University--University of Oxford,vector_borne,1,Mahidol University,Mahidol University,0.601502,0.392831,3,Mahidol University,University of Oxford,1,0
Mahidol University--University of Oxford#vector_borne,Mahidol University--University of Oxford,vector_borne,2,University of Oxford,University of Oxford,0.658401,0.434596,3,Mahidol University,University of Oxford,1,0
National Centre for Infectious Diseases--National University of Singapore#rti,National Centre for Infectious Diseases--National University of Singapore,rti,1,National Centre for Infectious Diseases,National Centre for Infectious Diseases,0.63178,0.485666,3,National Centre for Infectious Diseases,National University of Singapore,0,1
National Centre for Infectious Diseases--National University of Singapore#rti,National Centre for Infectious Diseases--National University of Singapore,rti,2,National University of Singapore,National University of Singapore,0.59751,0.507684,3,National Centre for Infectious Diseases,National University of Singapore,0,1
Mahidol University--Oxford University Clinical Research Unit#amr_hai,Mahidol University--Oxford University Clinical Research Unit,amr_hai,1,Mahidol University,Mahidol University,0.601502,0.392831,3,Mahidol University,Oxford University Clinical Research Unit,1,0
Mahidol University--Oxford University Clinical Research Unit#amr_hai,Mahidol University--Oxford University Clinical Research Unit,amr_hai,2,Oxford University Clinical Research Unit,Oxford University Clinical Research Unit,0.703504,0.365802,3,Mahidol University,Oxford University Clinical Research Unit,1,0
National Centre for Infectious Diseases--National University of Singapore#vector_borne,National Centre for Infectious Diseases--National University of Singapore,vector_borne,1,National Centre for Infectious Diseases,National Centre for Infectious Diseases,0.63178,0.485666,3,National Centre for Infectious Diseases,National University of Singapore,0,1
National Centre for Infectious Diseases--National University of Singapore#vector_borne,National Centre for Infectious Diseases--National University of Singapore,vector_borne,2,National University of Singapore,National University of Singapore,0.59751,0.507684,3,National Centre for Infectious Diseases,National University of Singapore,0,1
London School of Hygiene & Tropical Medicine--National University of Singapore#rti,London School of Hygiene & Tropical Medicine--National University of Singapore,rti,1,London School of Hygiene & Tropical Medicine,London School of Hygiene & Tropical Medicine,0.690267,0.57095,3,London School of Hygiene & Tropical Medicine,National University of Singapore,1,1
London School of Hygiene & Tropical Medicine--National University of Singapore#rti,London School of Hygiene & Tropical Medicine--National University of Singapore,rti,2,National University of Singapore,National University of Singapore,0.59751,0.507684,3,London School of Hygiene & Tropical Medicine,National University of Singapore,1,1
National University Hospital--University of Oxford#amr_hai,National University Hospital--University of Oxford,amr_hai,1,National University Hospital,National University Hospital,0.51926,0.342069,3,National University Hospital,University of Oxford,1,1
National University Hospital--University of Oxford#amr_hai,National University Hospital--University of Oxford,amr_hai,2,University of Oxford,University of Oxford,0.658401,0.434596,3,National University Hospital,University of Oxford,1,1
National University of Singapore--Singapore General Hospital#amr_hai,National University of Singapore--Singapore General Hospital,amr_hai,1,National University of Singapore,National University of Singapore,0.59751,0.507684,3,National University of Singapore,Singapore General Hospital,0,1
National University of Singapore--Singapore General Hospital#amr_hai,National University of Singapore--Singapore General Hospital,amr_hai,2,Singapore General Hospital,Singapore General Hospital,0.475209,0.374832,3,National University of Singapore,Singapore General Hospital,0,1
National Centre for Infectious Diseases--National University Hospital#sti,National Centre for Infectious Diseases--National University Hospital,sti,1,National Centre for Infectious Diseases,National Centre for Infectious Diseases,0.63178,0.485666,3,National Centre for Infectious Diseases,National University Hospital,0,1
National Centre for Infectious Diseases--National University Hospital#sti,National Centre for Infectious Diseases--National University Hospital,sti,2,National University Hospital,National University Hospital,0.51926,0.342069,3,National Centre for Infectious Diseases,National University Hospital,0,1
"Agency for Science, Technology and Research--National University of Singapore#rti","Agency for Science, Technology and Research--National University of Singapore",rti,1,"Agency for Science, Technology and Research","Agency for Science, Technology and Research",0.770378,0.467146,3,"Agency for Science, Technology and Research",National University of Singapore,0,1
"Agency for Science, Technology and Research--National University of Singapore#rti","Agency for Science, Technology and Research--National University of Singapore",rti,2,National University of Singapore,National University of Singapore,0.59751,0.507684,3,"Agency for Science, Technology and Research",National University of Singapore,0,1
Duke-NUS Medical School--National University of Singapore#vector_borne,Duke-NUS Medical School--National University of Singapore,vector_borne,1,Duke-NUS Medical School,Duke-NUS Medical School,0.465633,0.441401,3,Duke-NUS Medical School,National University of Singapore,0,1
Duke-NUS Medical School--National University of Singapore#vector_borne,Duke-NUS Medical School--National University of Singapore,vector_borne,2,National University of Singapore,National University of Singapore,0.59751,0.507684,3,Duke-NUS Medical School,National University of Singapore,0,1
National University of Singapore--SingHealth#vector_borne,National University of Singapore--SingHealth,vector_borne,1,National University of Singapore,National University of Singapore,0.59751,0.507684,3,National University of Singapore,SingHealth,0,1
National University of Singapore--SingHealth#vector_borne,National University of Singapore--SingHealth,vector_borne,2,SingHealth,SingHealth,0.566166,0.304445,3,National University of Singapore,SingHealth,0,1
A*STAR Infectious Diseases Labs--University of Malaya#vector_borne,A*STAR Infectious Diseases Labs--University of Malaya,vector_borne,1,A*STAR Infectious Diseases Labs,A*STAR Infectious Diseases Labs,0.805549,0.407654,3,A*STAR Infectious Diseases Labs,University of Malaya,1,1
A*STAR Infectious Diseases Labs--University of Malaya#vector_borne,A*STAR Infectious Diseases Labs--University of Malaya,vector_borne,2,University of Malaya,University of Malaya,0.573788,0.583368,3,A*STAR Infectious Diseases Labs,University of Malaya,1,1
Nanyang Technological University--National Centre for Infectious Diseases#other_id,Nanyang Technological University--National Centre for Infectious Diseases,other_id,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,3,Nanyang Technological University,National Centre for Infectious Diseases,0,1
Nanyang Technological University--National Centre for Infectious Diseases#other_id,Nanyang Technological University--National Centre for Infectious Diseases,other_id,2,National Centre for Infectious Diseases,National Centre for Infectious Diseases,0.63178,0.485666,3,Nanyang Technological University,National Centre for Infectious Diseases,0,1
A*STAR Infectious Diseases Labs--National University of Singapore#vector_borne,A*STAR Infectious Diseases Labs--National University of Singapore,vector_borne,1,A*STAR Infectious Diseases Labs,A*STAR Infectious Diseases Labs,0.805549,0.407654,3,A*STAR Infectious Diseases Labs,National University of Singapore,0,1
A*STAR Infectious Diseases Labs--National University of Singapore#vector_borne,A*STAR Infectious Diseases Labs--National University of Singapore,vector_borne,2,National University of Singapore,National University of Singapore,0.59751,0.507684,3,A*STAR Infectious Diseases Labs,National University of Singapore,0,1
Duke-NUS Medical School--Nanyang Technological University#tb,Duke-NUS Medical School--Nanyang Technological University,tb,1,Duke-NUS Medical School,Duke-NUS Medical School,0.465633,0.441401,3,Duke-NUS Medical School,Nanyang Technological University,0,1
